,player,age,position,Rating,Team,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
20,Lucas Castro ,29, AM(CLR),6.82,Cagliari,182,75,9(1),819,1,2,1,-,0.7,79.5,1,1,1,2,0.7,1.3,0.7,1,0.2,1.8,2.8,1.6,1.5,1.6,-,0.6,1.4,0.4,-,2,1.3,39.6,79.5,0.8,0.8,-
21,Marco Andreolli ,32, D(C),6.07,Cagliari,187,81,1(2),104,-,-,1,-,0.3,90.3,2,-,-,-,0.3,-,-,-,-,-,-,0.3,0.3,1.3,-,1.7,-,0.3,-,-,-,24.0,90.3,-,1,-
22,Marco Sau ,31," AM(C),FW",6.09,Cagliari,169,65,5(9),554,1,-,4,-,0.6,89.4,0.1,-,1,-,0.6,0.5,0.4,0.5,0.3,0.9,1.5,0.3,0.1,0.6,-,0.3,0.3,-,-,-,0.5,10.1,89.4,-,0.1,-
23,Marko Pajac ,25, Midfielder,6.33,Cagliari,185,66,0(3),98,-,-,-,-,-,82.1,0.3,-,-,-,-,0.3,0.3,-,-,1,0.7,0.3,0.3,0.7,0.3,0.3,-,0.3,-,-,0.3,13.0,82.1,1,0.3,-
24,Nicolò Barella ,22, AM(C),6.76,Cagliari,175,68,28,2482,1,2,6,1,1.5,81.5,0.6,1,1,2,1.5,1.1,1.1,2.5,-,1.9,3.3,2.9,1.3,1.5,-,0.7,1.5,-,-,2,1.1,50.9,81.5,0.5,3,0.1
25,Paolo Faragò ,26," D(R),DMC,M(R)",6.6,Cagliari,187,80,14(9),1438,-,1,6,-,0.7,75.6,2,-,-,1,0.7,0.8,0.5,0.9,-,0.7,1.1,1.7,0.5,1.3,-,1.2,1.2,-,-,1,0.8,27.4,75.6,0.6,1,-
26,Ragnar Klavan ,33, D(C),6.5,Cagliari,187,85,10,812,-,-,-,-,0.1,81.6,1.7,-,-,-,0.1,-,0.1,0.1,-,0.1,0.4,0.5,1,0.3,0.6,4.4,0.4,1.2,-,-,-,42.9,81.6,-,3.1,-
27,Riccardo Doratiotto ,19, Forward,6.16,Cagliari,178,0,1,79,-,-,-,-,-,60.0,4,-,-,-,-,-,-,-,-,2,3,1,-,2,-,-,-,-,-,-,-,10.0,60.0,-,-,-
28,Simone Padoin ,35," D(LR),M(CLR)",6.48,Cagliari,179,73,20(4),1713,-,2,1,-,0.1,81.8,0.7,-,-,2,0.1,0.6,0.3,0.8,-,0.3,0.6,1.2,0.5,0.5,0.2,1.7,0.7,0.2,-,2,0.6,30.7,81.8,0.7,1.8,-
29,Valter Birsa ,32," M(CLR),FW",6.14,Cagliari,184,83,2(4),147,-,-,-,-,0.3,83.5,-,-,-,-,0.3,0.2,0.2,0.2,-,0.5,-,0.2,0.2,0.2,-,0.3,0.5,-,-,-,0.2,15.2,83.5,0.3,1.2,-
0,Andrea Ranocchia ,31, D(C),6.18,Inter,195,81,0(4),61,-,-,1,-,0.5,53.3,1.5,-,-,-,0.5,-,-,-,-,-,-,0.5,-,1,-,0.8,0.3,-,-,-,-,7.5,53.3,-,0.5,-
1,Antonio Candreva ,32, M(CLR),6.31,Inter,180,70,5(10),441,1,-,-,-,1.3,80.9,0.1,-,1,-,1.3,0.6,0.3,0.5,0.2,0.5,0.5,0.1,0.1,0.5,-,0.4,0.5,-,-,-,0.6,12.2,80.9,0.8,0.4,-
2,Borja Valero ,34, M(CL),6.4,Inter,175,73,8(12),854,-,1,2,-,0.6,92.7,0.1,-,-,1,0.6,0.7,0.2,0.5,-,0.2,0.4,0.6,0.4,0.6,-,0.8,1.1,-,-,1,0.7,36.4,92.7,0.3,1.8,0.1
3,Cédric Soares ,27," D(R),M(R)",6.75,Inter,172,67,2(1),169,-,1,-,-,0.7,70.5,0.7,-,-,1,0.7,1.7,-,0.7,-,0.3,1.7,2.3,0.3,0.7,-,0.7,0.7,0.3,-,1,1.7,31.7,70.5,2.3,1.0,-
4,Dalbert ,25," D(L),M(L)",7.04,Inter,181,70,9(1),762,-,1,2,-,0.6,80.0,2.4,1,-,1,0.6,0.9,0.2,1.7,-,0.6,0.8,3.2,0.8,0.7,-,1.1,0.8,0.3,-,1,0.9,40.6,80.0,1.1,2.1,-
5,Danilo D'Ambrosio ,30," D(CLR),M(LR)",6.88,Inter,180,75,21(1),1861,2,3,4,-,0.4,82.9,1.1,1,2,3,0.4,1.1,0.4,1.2,0.3,0.7,0.9,2.2,1,1.7,0.4,1.3,0.8,0.3,-,3,1.1,51.0,82.9,0.6,2.9,0.1
6,Ivan Perisic ,30, AM(CLR),6.93,Inter,186,80,21(4),1944,4,2,2,-,2.7,72.3,1.7,4,4,2,2.7,1.6,0.7,0.4,0.3,0.5,1.2,0.9,0.7,0.8,-,1.5,0.9,0.1,1,2,1.6,30.4,72.3,1,1.0,0.1
